1840.00,171.00,64.00,294.00,11.80,13.40,7.80,15.70,29.60,20.00,0.80,165.00,4.01,30.18,7.30
429.00,36.00,5.00,132.00,9.40,6.90,7.40,7.40,23.20,72.00,0.90,66.00,16.69,8.98,2.60
779.00,48.00,14.00,69.00,7.40,8.00,6.90,11.30,30.00,34.00,0.50,124.00,5.33,32.97,5.60
776.00,114.00,31.00,217.00,7.80,5.90,5.90,9.40,27.60,49.00,0.90,57.00,6.08,8.00,13.10
554.00,42.00,80.00,176.00,8.56,5.89,5.89,9.42,34.50,27.00,2.26,178.00,20.61,8.73,3.30
508.00,54.00,7.00,126.00,7.20,7.20,6.60,10.30,27.00,62.00,0.20,69.00,22.47,10.52,5.70
856.00,101.00,24.00,303.00,7.80,5.90,5.90,9.40,28.70,52.00,1.60,176.00,6.08,8.00,9.30
887.00,85.00,50.00,187.00,10.50,11.80,9.40,11.80,31.90,30.00,0.50,175.00,3.49,38.37,5.30
1460.00,130.00,138.00,438.00,11.80,10.50,9.40,9.40,24.00,64.00,1.68,23.00,3.49,38.37,6.90
554.00,44.00,65.00,134.00,5.06,4.52,6.61,7.81,32.60,29.00,0.63,26.00,17.61,13.70,5.20
878.00,52.00,10.00,106.00,8.00,7.40,6.90,12.00,24.00,55.00,0.50,97.00,5.33,32.97,5.20
617.00,72.00,74.00,122.00,7.90,10.50,5.00,13.50,31.40,45.00,0.80,46.00,20.61,8.73,2.80
576.00,43.00,112.00,42.00,5.70,8.60,5.00,8.60,21.50,89.00,1.50,1.00,17.69,13.70,3.00
907.00,54.00,17.00,87.00,6.00,6.90,6.00,9.60,28.00,29.00,0.40,148.00,5.33,32.97,7.80
659.00,50.00,77.00,144.00,6.60,8.60,5.10,8.60,30.10,37.00,0.20,58.00,17.69,13.70,8.60
1042.00,77.00,19.00,124.00,8.00,7.40,6.90,12.00,32.10,29.00,1.42,138.00,5.33,32.97,6.10
469.00,64.00,64.00,140.00,9.60,9.60,10.70,9.60,24.60,71.00,0.40,139.00,17.69,13.70,2.00
526.00,46.00,75.00,171.00,5.60,5.10,7.40,8.70,30.90,39.00,1.10,91.00,20.61,8.73,4.70
831.00,123.00,32.00,304.00,8.50,5.90,5.90,9.40,35.70,26.00,0.94,133.00,6.08,8.00,8.10
512.00,52.00,107.00,79.00,5.70,8.60,4.50,8.60,14.80,63.00,0.00,26.00,17.69,13.70,8.60
529.00,34.00,7.00,56.00,6.50,10.40,6.90,8.70,23.00,78.00,0.00,164.00,16.69,8.98,3.40
1597.00,166.00,51.00,246.00,11.75,13.43,7.83,15.67,38.70,16.00,2.05,171.00,4.01,30.18,7.00
508.00,40.00,3.00,176.00,10.50,9.40,11.80,13.50,25.50,61.00,0.90,145.00,14.56,10.04,1.80
1622.00,157.00,57.00,237.00,11.80,13.40,7.80,15.70,31.80,36.00,0.70,170.00,4.01,30.18,7.00
938.00,151.00,33.00,313.00,8.50,5.90,5.90,9.40,29.10,48.00,0.30,147.00,6.08,8.00,10.40
848.00,102.00,23.00,326.00,7.80,7.20,6.70,11.80,27.40,24.00,0.70,79.00,6.08,8.00,7.80
1434.00,140.00,116.00,455.00,11.80,10.50,9.40,9.40,18.60,71.00,1.31,7.00,3.49,38.37,9.40
865.00,102.00,30.00,290.00,8.50,5.90,5.90,9.40,30.00,24.00,1.00,137.00,6.08,8.00,9.30
1095.00,135.00,39.00,424.00,7.20,9.40,7.20,10.40,28.10,43.00,0.80,142.00,6.08,8.00,6.70
887.00,76.00,29.00,118.00,7.70,8.50,7.30,11.40,31.20,32.00,1.68,135.00,5.33,32.97,4.80
531.00,43.00,98.00,145.00,7.20,11.80,5.00,11.80,32.80,39.00,0.80,71.00,20.61,8.73,4.50
1005.00,93.00,60.00,138.00,11.80,9.40,8.60,13.40,30.00,30.00,0.61,163.00,3.49,38.37,6.50
595.00,50.00,64.00,137.00,7.80,6.60,6.60,12.30,27.70,39.00,0.90,24.00,17.61,13.70,4.70
1402.00,161.00,117.00,350.00,11.80,9.40,8.60,13.40,34.70,19.00,0.30,172.00,3.49,38.37,9.60
1547.00,149.00,86.00,351.00,10.50,11.80,9.40,11.80,26.00,40.00,1.30,154.00,3.49,38.37,6.40
875.00,110.00,36.00,241.00,8.50,5.90,5.90,9.40,24.80,52.00,1.20,21.00,6.08,8.00,12.60
2115.00,144.00,53.00,252.00,10.40,13.40,7.20,13.40,27.00,41.00,0.50,162.00,4.01,30.18,10.30
1343.00,144.00,98.00,350.00,10.50,11.80,9.40,11.80,29.70,49.00,1.18,7.00,3.49,38.37,4.50
1405.00,109.00,39.00,193.00,11.80,13.40,7.80,18.80,37.50,29.00,1.60,148.00,4.01,30.18,7.60
567.00,65.00,7.00,192.00,8.60,8.60,6.70,11.80,30.70,42.00,0.70,99.00,14.56,10.04,2.50
974.00,128.00,30.00,299.00,7.80,5.90,5.90,9.40,26.00,50.00,0.40,150.00,6.08,8.00,15.10
1803.00,148.00,40.00,224.00,11.80,13.40,7.80,18.80,32.20,48.00,2.40,16.00,4.01,30.18,10.00
